Area_sqft,Bedrooms,Age_years,Distance_city_km,Crime_Rate,Avg_Income,House_Price
1200,3,10,8.5,2.1,55000,4200000
900,2,20,15.2,4.5,42000,2800000
1800,4,5,6.1,1.8,72000,6500000
2500,5,2,3.5,0.9,98000,9100000
700,1,25,20.4,6.2,30000,1500000
1600,3,8,10,2.7,61000,5000000
NULL,2,12,18.6,5.1,48000,3100000
1400,NULL,15,12.3,3.8,53000,3900000
2100,4,NULL,7.2,2,75000,7200000
1300,3,18,NULL,4.1,50000,3600000
1700,3,6,9,NULL,65000,5400000
2200,4,4,5.4,1.2,NULL,7800000
NULL,5,1,2.8,0.7,110000,9500000
800,2,22,17.5,5.6,NULL,2400000
1550,3,NULL,11,3,60000,4800000
2000,NULL,7,8.2,2.4,72000,6800000
950,2,19,NULL,4.8,45000,2900000
NULL,1,28,25,7.5,26000,1200000
1750,4,6,6.8,NULL,70000,6000000
1450,3,14,13.2,3.9,NULL,4100000
2300,5,NULL,4.1,1.5,90000,8200000
1100,2,21,16.8,5,48000,3000000
1900,4,9,NULL,2.2,74000,6700000
1000,NULL,24,19.3,6.1,40000,2600000
1650,3,10,9.5,2.9,NULL,5200000
