Customer_ID,Age,Annual_Income_k$,Spending_Score
1,19,15,39
2,21,15,81
3,20,16,6
4,23,16,77
5,31,17,40
6,22,17,76
7,35,18,6
8,23,18,94
9,64,19,3
10,30,19,72
11,67,20,14
12,35,20,99
13,58,21,15
14,24,21,73
15,37,22,14
16,22,22,79
17,35,23,35
18,20,23,66
19,52,24,29
20,35,24,98
21,35,30,4
22,25,30,73
23,46,33,5
24,31,33,92
25,54,34,14
26,29,34,82
27,45,35,32
28,35,35,61
29,40,37,26
30,23,37,75
31,60,40,3
32,21,40,93
33,53,43,8
34,18,43,92
35,49,46,14
36,21,46,87
37,42,48,15
38,30,48,88
39,36,50,6
40,20,50,90
41,65,55,5
42,24,55,88
43,48,60,17
44,31,60,95
45,59,63,11
46,28,63,81
47,52,67,22
48,27,67,90
49,55,70,10
50,29,70,88
